INVNRS,ONDERWERP,TERM,URI
57137,Bestrating,,
57138,Bestrating,,
57139,Bestrating,,
57140,Bestrating,,
57141,Bestrating,,
57142,Bestrating,,
57143,Bestrating,,
57144,Bestrating,,
57145,Bestrating,,
57146,Bestrating,,
57147,Bestrating,,
57148,Bestrating,,
57149,Bestrating,,
57150,Bestrating,,
57151,Bestrating,,
57152,Bestrating,,
57153,Bestrating,,
57154,Bestrating,,
57155,Bestrating,,
57156,Bestrating,,
57157,Bestrating,,
57158,Bestrating,,
57159,Bestrating,,
57160,Bestrating,,
57161,Bestrating,,
57162,Bestrating,,
57163,School,School,http://vocab.getty.edu/aat/300006495
57164,School,School,http://vocab.getty.edu/aat/300006495
57165,School,School,http://vocab.getty.edu/aat/300006495
57166,School,School,http://vocab.getty.edu/aat/300006495
57167,Spinhuis,,
57168,Sporthal,,
57169,Sporthal,,
57170,Perceel,,
57171,Perceel,,
57172,Dr.,,
57173,Aanloopcentrum,,
57174,Aanloopcentrum,,
57175,Aanloopcentrum,,
57176,Garage,,
57177,Telefoongebouwtje,,
57178,Telefoongebouwtje,,
57179,Techn,,
57180,Bestrating,,
57181,Toneelshool,,
57182,Metro,,
57183,Wibauthuis,,
57184,Abri's,,
57185,Nieuwe,,
57186,Vuilverbranding,,
57187,School,School,http://vocab.getty.edu/aat/300006495
57188,Dienstgebouw,,
57189,G.G.G.D.,,
57190,Perceel,,
57191,Bestrating,,
57192,Bestrating,,
57193,Bestrating,,
57194,Bestrating,,
57195,Bestrating,,
57196,Sporthal,,
57197,Stadsdrukkerij,,
57198,Sporthal,,
57199,Wilhelmina,,
57201,School,School,http://vocab.getty.edu/aat/300006495
57202,RAI,,
57203,School,School,http://vocab.getty.edu/aat/300006495
57204,Perceel,,
57205,Soc.,,
57206,Perceel,,
57207,Perceel,,
57208,Perceel,,
57209,Perceel,,
57210,Perceel,,
57211,Perceel,,
57212,Perceel,,
57213,Perceel,,
57214,Perceel,,
57215,Perceel,,
57216,Riolering,Riolering,http://vocab.getty.edu/aat/300006122
57217,Perceel,,
57218,Perceel,,
57219,Perceel,,
57220,Perceel,,
57221,Bestrating,,
57222,Bestrating,,
57223,Bestrating,,
57224,Politiebureau,Politiebureau,http://vocab.getty.edu/aat/300006049
57225,Bestrating,,
57226,Bestrating,,
57227,Bestrating,,
57228,Perceel,,
57229,Perceel,,
57230,Perceel,,
57231,Perceel,,
57232,Perceel,,
57233,Perceel,,
57234,Perceel,,
57235,Perceel,,
57236,Perceel,,
57237,Perceel,,
57238,Situatie,,
57239,Perceel,,
57240,Perceel,,
57241,Situatie,,
57242,Perceel,,
57243,Perceel,,
57244,Perceel,,
57245,Perceel,,
57246,Perceel,,
57247,Perceel,,
57248,Perceel,,
57251,Wibauthuis,,
57252,Sporthal,,
57253,Perceel,,
57254,Perceel,,
57255,Perceel,,
57256,Perceel,,
57257,Perceel,,
57258,Perceel,,
57259,Perceel,,
57260,Perceel,,
57261,Perceel,,
57262,Perceel,,
57263,Perceel,,
57264,Perceel,,
57265,Perceel,,
57266,Perceel,,
57267,Perceel,,
57268,Perceel,,
57269,Perceel,,
57270,Perceel,,
57271,Perceel,,
57272,Perceel,,
57273,Perceel,,
57274,Universiteit,,
57275,Politiebureau,Politiebureau,http://vocab.getty.edu/aat/300006049
57281,Politiebureau,Politiebureau,http://vocab.getty.edu/aat/300006049
57300,Politiebureau,Politiebureau,http://vocab.getty.edu/aat/300006049
57301,Complex,,
57302,Complex,,
57303,Complex,,
57304,Complex,,
57305,Complex,,
57306,Complex,,
57307,Complex,,
57308,Complex,,
57309,Complex,,
57310,Complex,,
57311,Complex,,
57312,Complex,,
57313,Complex,,
