NR;SCOPEID;URI;STRAATNAAM
412;61278983;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
413;61279573;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
414;61279770;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
415;61279846;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
416;61280096;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
417;61289283;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
418;61296769;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
419;61299500;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
420;61300577;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
421;61301642;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
422;61302412;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
423;61304888;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
424;61307558;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
425;61308269;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
426;61309527;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
427;61274338;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
429;61274570;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
430;61275128;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
431;61276536;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
432;61276786;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
433;61276892;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
434;61277026;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
435;61277027;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
436;61277028;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
437;61278582;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
438;61278890;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
439;61279233;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
440;61280236;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
441;61281135;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
442;61282164;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
443;61283137;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
444;61284596;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
445;61284597;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
446;61285044;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
447;61287510;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
448;61287974;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
449;61288149;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
450;61289773;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
451;61289795;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
452;61291766;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
453;61291812;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
454;61294177;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
455;61295082;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
456;61297040;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
457;61299228;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
458;61300867;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
459;61300868;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
460;61301285;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
461;61301639;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
462;61305116;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
463;61306985;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
464;61309666;https://adamlink.nl/geo/street/adelaarsweg/47;Adelaarsweg
465;61288112;https://adamlink.nl/geo/street/adele-opzoomerstraat/48;Adèle Opzoomerstraat
466;61293896;https://adamlink.nl/geo/street/adele-opzoomerstraat/48;Adèle Opzoomerstraat
467;61295034;https://adamlink.nl/geo/street/adele-opzoomerstraat/48;Adèle Opzoomerstraat
468;61294963;https://adamlink.nl/geo/street/adingerdorphof/50;Adingerdorphof
469;61295223;https://adamlink.nl/geo/street/adingerdorphof/50;Adingerdorphof
470;61277064;https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51;Admiraal De Ruijterweg
471;61298618;https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51;Admiraal De Ruijterweg
472;61282776;https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51;Admiraal De Ruijterweg
473;61282884;https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51;Admiraal De Ruijterweg
